date,channel,member,message
2023-10-01,general,Alex,"Привет, команда! Как продвигается задача по дизайну?"
2023-10-01,general,Sarah,"Всё готово, отправлю макеты к обеду"
2023-10-01,design-team,Alex,"Посмотрите на новую версию макета"
2023-10-01,design-team,Michael,"Круто, но кнопки слишком маленькие"
2023-10-02,general,Sarah,"Макеты готовы, проверяйте"
2022-10-02,general,Michael,"Спасибо, всё отлично!"
2023-10-02,general,Alex,"Отличная работа, Sarah!"
2023-10-03,general,Michael,"У кого-нибудь есть время помочь с багом?"
2023-10-03,general,Alex,"Могу посмотреть после обеда"
2023-10-03,general,Sarah,"Я тоже могу помочь"
